Type_of_Attack,Date_and_Time,Town,Country,Source_Town,Source_Country,Target_Town,Target_Country
Malware,2024-01-13 03:23:33.618343,Port Ryanborough,China,North Tara,United Kingdom,North Sean,Brazil
Malware,2024-05-22 09:49:00.887401,Natashatown,United Kingdom,East Garybury,South Korea,Wustad,China
SQL Injection,2024-04-14 06:41:10.114361,Larryton,China,Lake Brianland,China,South Peter,India
DDoS,2024-07-03 17:32:11.615286,Michaeltown,United States,Douglasville,Japan,Mcclainburgh,China
Phishing,2024-07-06 12:23:13.804788,South Kathleen,United States,Cooperstad,India,Jimmyborough,Germany
Phishing,2024-03-24 15:33:09.596688,Patriciatown,Germany,North Willieton,South Korea,East Chelseaside,Japan
Ransomware,2024-06-03 03:52:13.362828,Johnsonville,China,Steelefurt,Brazil,South Steven,Brazil
DDoS,2024-02-20 14:14:39.742641,Matthewburgh,South Korea,Melissaland,Japan,Clarkstad,China
Malware,2024-10-18 09:45:28.890549,Millershire,Japan,Beckbury,India,South Staceyland,Brazil
DDoS,2024-04-09 02:06:51.093241,North Christineville,China,Port Brian,Australia,Jacobville,Germany
Ransomware,2024-01-29 02:33:29.848353,Burnettmouth,Japan,Stacyville,China,East Shawnland,Russia
SQL Injection,2024-01-04 22:16:02.770939,Josephfurt,United States,West Chadtown,China,Taraberg,China
DDoS,2024-09-19 01:26:52.913775,Prattstad,United Kingdom,Joshuaville,India,Port Christopherfort,Russia
SQL Injection,2024-06-28 10:47:24.741932,South Charles,Japan,Gonzalezchester,Brazil,Landryborough,Australia
Malware,2024-10-27 18:21:34.136086,West Kathytown,South Korea,Port Bradleyburgh,China,Lake Kyle,United Kingdom
DDoS,2024-08-08 13:19:50.637308,Angelashire,Germany,Payneburgh,Australia,West Alexland,Russia
Malware,2024-01-02 02:51:19.367802,South Tammyborough,Germany,West Jeffreytown,United States,Holtchester,United States
SQL Injection,2024-05-26 10:57:51.120692,Wilsonville,China,Port Jennifer,India,New Rhonda,India
Phishing,2024-10-05 09:45:40.747282,East Danielle,Germany,Jonland,United Kingdom,Lake Tammyfurt,Brazil
SQL Injection,2024-08-09 02:20:48.306720,Rachelbury,Russia,Lake Natashaborough,Australia,North Anita,Brazil
Phishing,2024-10-11 23:01:23.702050,Woodardside,Russia,Roberthaven,South Korea,Ramirezshire,India
Ransomware,2024-05-25 08:56:18.208166,Kingfurt,Japan,Murphyberg,United Kingdom,Frankshire,Russia
SQL Injection,2024-04-05 13:38:09.000896,East Michael,United Kingdom,Port Michaelland,Germany,Lake Virginiaberg,China
Ransomware,2024-09-14 17:43:27.680177,East Johntown,Germany,West Richard,Brazil,Fishershire,Brazil
Ransomware,2024-10-23 02:00:34.849198,South Jenniferville,Germany,Riverabury,China,Brooksfort,Australia
Phishing,2024-06-24 06:02:07.215135,Brendaburgh,Russia,Hayesshire,South Korea,Lawrenceton,India
DDoS,2024-05-03 04:20:14.802797,East Kennethtown,Brazil,North Susan,Germany,Annview,Japan
Phishing,2024-07-11 00:49:40.674734,North Willieshire,United Kingdom,Williamfurt,India,Adamsberg,Russia
SQL Injection,2024-01-17 17:37:16.651360,Melanieborough,Russia,West Scott,Brazil,Butlerton,United Kingdom
Phishing,2024-06-30 12:57:44.894441,Watkinsfurt,Russia,Lake Ashley,India,North Ronaldchester,India
SQL Injection,2024-10-18 14:16:40.460088,Lisaberg,Germany,East Davidstad,India,Kathrynbury,Australia
Malware,2024-01-18 08:27:55.672800,Sandraview,United States,East Timothymouth,Germany,North Emily,Russia
Phishing,2024-09-24 02:02:51.231533,Port Susanport,China,Lake Timothyshire,Russia,New Anthony,Australia
Ransomware,2024-04-25 10:35:58.503575,West Jennifer,Australia,Colemanburgh,Brazil,Port Herberthaven,United States
Malware,2024-04-17 11:18:00.569030,West Harry,Brazil,Adamton,United States,North Johntown,India
SQL Injection,2024-03-27 08:28:32.988955,Lake Melissamouth,Russia,North Samanthaview,United States,Hooverberg,Japan
Phishing,2024-08-29 15:35:07.381665,North Mark,Germany,Alejandromouth,India,Terrifort,China
Phishing,2024-03-14 11:46:09.670531,West Coltonton,Japan,West Rachel,India,Lake Larry,United Kingdom
Ransomware,2024-06-25 00:04:45.767707,Lake Jane,United States,Williambury,Brazil,Riggsville,Brazil
SQL Injection,2024-09-09 04:21:53.222869,West Paul,United Kingdom,Port Kim,Japan,Ritaport,Japan
DDoS,2024-05-30 22:19:41.899022,Andreahaven,India,South Michaeltown,Germany,Lake Bradleytown,United States
DDoS,2024-06-03 22:55:51.366082,Port Davidside,Germany,Huynhmouth,India,Hillshire,United States
Malware,2024-06-12 14:46:29.506931,Alexandriafort,China,Ortegaland,Russia,Yuton,Japan
Phishing,2024-03-13 09:03:51.419254,Brendaville,China,Rogersbury,Australia,Port Randallchester,United States
Ransomware,2024-03-23 20:19:42.195576,West Gabrielle,South Korea,Vaughnshire,South Korea,Sanchezstad,Brazil
SQL Injection,2024-06-07 20:37:52.541414,New Mark,Australia,Davidfort,Russia,Smithfort,Germany
Ransomware,2024-06-04 00:53:36.195129,Langfurt,China,Jonathanhaven,Russia,East Danielhaven,Australia
Phishing,2024-02-11 04:38:30.338367,West Lindafurt,Russia,South Sharon,Australia,Villarrealbury,Russia
Malware,2024-02-13 21:47:37.928786,Port Vanessa,Russia,North Alexander,United States,East Loganstad,Germany
Phishing,2024-08-20 22:16:12.344071,West Timothy,Japan,North Robertview,China,Jacobberg,United Kingdom
Malware,2024-07-31 12:16:04.224402,West Benjaminmouth,Japan,West Ryan,Australia,Clarkville,South Korea
